"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Cuba","CUB","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.49","5.59","","6.665","","","","","","","","","","","","","",
"Curacao","CUW","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","","47.1","","","","","",
"Cayman Islands","CYM","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.07","11.279","13.342","","","17.922","19.212","16.667","19.075","11.412","","","","","","","","","","",
"Cyprus","CYP","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.417","","","","","","","9.899","12.061","10.486","7.859","9.121","12.354","15.644","11.6","9.637","9.49","14.209","17.387","21.573","26.837","36.835","34.679","31.272","31.87","23.36","16.369","14.778","12.651","16.45","18.494","14.652","13.608","",
"Czechia","CZE","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.094","","10.568","10.037","8.724","8.277","9.988","14.775","18.549","17.389","17.296","17.23","18.821","19.487","19.095","18.66","10.97","9.932","16.696","18.478","17.963","18.998","19.449","17.102","14.434","11.403","8.749","7.201","5.999","9.158","9.061","7.944","8.611","9.222","",
"Germany","DEU","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","11.056","11.118","10.717","8.967","7.562","7.347","5.864","4.721","5.849","6.54","7.702","8.42","8.186","8.641","9.154","8.544","7.74","7.448","6.399","7.246","8.059","10.225","13.979","12.141","10.806","10.526","9.897","9.052","8.173","7.572","6.997","7.025","6.406","6.196","5.864","5.219","4.827","8.016","6.24","5.597","5.451","6.259","",
"Djibouti","DJI","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.595","","","","","","","","",
"Dominica","DMA","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.268","","","","","","","","46.104","","34.79","","25.584","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","19.757","15.653","13.244","9.458","10.032","8.986","12.405","11.628","12.333","12.554","14.737","10.201","12.28","12.428","9.926","7.623","10.453","6.952","9.265","5.21","8.967","7.057","8.58","7.466","7.402","10.373","11.582","13.167","14.413","14.833","13.347","12.858","11.149","10.84","11.901","9.244","9.733","10.666","10.967","10.495","11.266","14.211","",
"Dominican Republic","DOM","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.643","22.082","19.877","19.922","21.126","19.164","17.873","19.837","17.427","20.648","15.851","19.617","20.088","27.901","21.057","24.448","25.818","19.718","23.067","22.801","20.73","25.61","17.754","15.363","17.972","17.812",
